Sample in Buffer,Sample in Window,TRIGGER,shreg_out[7:0],rand_num[7:0],enable_1
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,UNSIGNED,HEX
0,0,0,26,147,1
1,1,0,4c,147,1
2,2,0,99,147,1
3,3,0,32,147,1
4,4,0,64,147,1
5,5,0,c8,147,1
6,6,0,91,147,1
7,7,0,22,147,1
8,8,0,45,34,1
9,9,0,8b,34,1
10,10,0,17,34,1
11,11,0,2e,34,1
12,12,0,5d,34,1
13,13,0,ba,34,1
14,14,0,74,34,1
15,15,0,e8,34,1
16,16,0,d1,232,1
17,17,0,a2,232,1
18,18,0,44,232,1
19,19,0,89,232,1
20,20,0,13,232,1
21,21,0,26,232,1
22,22,0,4c,232,1
23,23,0,99,232,1
24,24,0,32,153,1
25,25,0,65,153,1
26,26,0,cb,153,1
27,27,0,97,153,1
28,28,0,2e,153,1
29,29,0,5d,153,1
30,30,0,ba,153,1
31,31,0,75,153,1
32,32,0,ea,117,1
33,33,0,d5,117,1
34,34,0,aa,117,1
35,35,0,54,117,1
36,36,0,a9,117,1
37,37,0,53,117,1
38,38,0,a6,117,1
39,39,0,4c,117,1
40,40,0,99,76,1
41,41,0,32,76,1
42,42,0,64,76,1
43,43,0,c9,76,1
44,44,0,93,76,1
45,45,0,26,76,1
46,46,0,4d,76,1
47,47,0,9b,76,1
48,48,0,37,155,1
49,49,0,6e,155,1
50,50,0,dd,155,1
51,51,0,ba,155,1
52,52,0,74,155,1
53,53,0,e8,155,1
54,54,0,d1,155,1
55,55,0,a2,155,1
56,56,0,45,162,1
57,57,0,8b,162,1
58,58,0,17,162,1
59,59,0,2e,162,1
60,60,0,5d,162,1
61,61,0,bb,162,1
62,62,0,76,162,1
63,63,0,ec,162,1
64,64,0,d9,236,1
65,65,0,b3,236,1
66,66,0,66,236,1
67,67,0,cd,236,1
68,68,0,9a,236,1
69,69,0,35,236,1
70,70,0,6a,236,1
71,71,0,d5,236,1
72,72,0,aa,213,1
73,73,0,55,213,1
74,74,0,aa,213,1
75,75,0,55,213,1
76,76,0,aa,213,1
77,77,0,55,213,1
78,78,0,ab,213,1
79,79,0,57,213,1
80,80,0,ae,87,1
81,81,0,5d,87,1
82,82,0,bb,87,1
83,83,0,76,87,1
84,84,0,ec,87,1
85,85,0,d9,87,1
86,86,0,b3,87,1
87,87,0,66,87,1
88,88,0,cd,102,1
89,89,0,9a,102,1
90,90,0,34,102,1
91,91,0,68,102,1
92,92,0,d1,102,1
93,93,0,a2,102,1
94,94,0,45,102,1
95,95,0,8a,102,1
96,96,0,15,138,1
97,97,0,2a,138,1
98,98,0,55,138,1
99,99,0,aa,138,1
100,100,0,54,138,1
101,101,0,a8,138,1
102,102,0,51,138,1
103,103,0,a2,138,1
104,104,0,44,162,1
105,105,0,89,162,1
106,106,0,13,162,1
107,107,0,26,162,1
108,108,0,4c,162,1
109,109,0,99,162,1
110,110,0,32,162,1
111,111,0,65,162,1
112,112,0,cb,101,1
113,113,0,97,101,1
114,114,0,2e,101,1
115,115,0,5d,101,1
116,116,0,ba,101,1
117,117,0,75,101,1
118,118,0,ea,101,1
119,119,0,d5,101,1
120,120,0,aa,213,1
121,121,0,54,213,1
