Sample in Buffer,Sample in Window,TRIGGER,shreg_out[7:0],rand_num[7:0],enable_1
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,UNSIGNED,HEX
0,0,0,51,213,1
1,1,0,a2,213,1
2,2,0,44,213,1
3,3,0,89,213,1
4,4,0,13,213,1
5,5,0,26,19,1
6,6,0,4d,19,1
7,7,0,9b,19,1
8,8,0,36,19,1
9,9,0,6d,19,1
10,10,0,db,19,1
11,11,0,b7,19,1
12,12,0,6e,19,1
13,13,0,dd,110,1
14,14,0,ba,110,1
15,15,0,75,110,1
16,16,0,ea,110,1
17,17,0,d5,110,1
18,18,0,aa,110,1
19,19,0,54,110,1
20,20,0,a8,110,1
21,21,0,51,168,1
22,22,0,a2,168,1
23,23,0,45,168,1
24,24,0,8b,168,1
25,25,0,16,168,1
26,26,0,2c,168,1
27,27,0,59,168,1
28,28,0,b3,168,1
29,29,0,66,179,1
30,30,0,cd,179,1
31,31,0,9b,179,1
32,32,0,37,179,1
33,33,0,6e,179,1
34,34,0,dd,179,1
35,35,0,ba,179,1
36,36,0,74,179,1
37,37,0,e8,116,1
38,38,0,d1,116,1
39,39,0,a2,116,1
40,40,0,45,116,1
41,41,0,8a,116,1
42,42,0,15,116,1
43,43,0,2a,116,1
44,44,0,55,116,1
45,45,0,ab,85,1
46,46,0,56,85,1
47,47,0,ac,85,1
48,48,0,59,85,1
49,49,0,b3,85,1
50,50,0,66,85,1
51,51,0,cd,85,1
52,52,0,9b,85,1
53,53,0,36,155,1
54,54,0,6c,155,1
55,55,0,d9,155,1
56,56,0,b2,155,1
57,57,0,64,155,1
58,58,0,c8,155,1
59,59,0,91,155,1
60,60,0,22,155,1
61,61,0,45,34,1
62,62,0,8a,34,1
63,63,0,15,34,1
64,64,0,2a,34,1
65,65,0,55,34,1
66,66,0,ab,34,1
67,67,0,56,34,1
68,68,0,ac,34,1
69,69,0,59,172,1
70,70,0,b2,172,1
71,71,0,64,172,1
72,72,0,c9,172,1
73,73,0,93,172,1
74,74,0,26,172,1
75,75,0,4c,172,1
76,76,0,99,172,1
77,77,0,32,153,1
78,78,0,64,153,1
79,79,0,c8,153,1
80,80,0,91,153,1
81,81,0,22,153,1
82,82,0,45,153,1
83,83,0,8a,153,1
84,84,0,15,153,1
85,85,0,2a,21,1
86,86,0,55,21,1
87,87,0,aa,21,1
88,88,0,54,21,1
89,89,0,a8,21,1
90,90,0,51,21,1
91,91,0,a2,21,1
92,92,0,44,21,1
93,93,0,89,68,1
94,94,0,13,68,1
95,95,0,26,68,1
96,96,0,4c,68,1
97,97,0,99,68,1
98,98,0,32,68,1
99,99,0,65,68,1
100,100,0,cb,68,1
101,101,0,97,203,1
102,102,0,2e,203,1
103,103,0,5d,203,1
104,104,0,ba,203,1
105,105,0,75,203,1
106,106,0,ea,203,1
107,107,0,d5,203,1
108,108,0,aa,203,1
109,109,0,54,170,1
110,110,0,a8,170,1
111,111,0,51,170,1
112,112,0,a2,170,1
113,113,0,45,170,1
114,114,0,8b,170,1
